27	Eric Bledsoe	PHX	27	45	15	30	33.1	20.8	7.0	15.8	44.6	1.5	4.6	31.7	5.3	6.2	85.0	0.9	4.1	5.0	6.2	3.1	1.5	0.4	2.7	6	0	-3.3
28	Devin Booker	PHX	20	44	15	29	34.5	20.6	7.4	17.6	42.2	1.9	5.1	37.3	3.9	4.6	83.7	0.6	2.3	2.8	3.1	2.9	0.9	0.2	3.2	0	0	-2.5
29	Brook Lopez	BKN	28	41	9	32	29.2	20.6	7.2	15.4	46.9	1.9	5.3	35.5	4.2	5.0	85.2	1.5	3.6	5.1	2.7	2.4	0.5	1.6	2.5	2	0	-3.1
30	Marc Gasol	MEM	31	45	27	18	34.3	20.6	7.5	16.2	46.4	1.4	3.6	39.5	4.1	5.0	82.5	0.8	5.3	6.1	4.2	2.1	1.1	1.4	2.2	6	1	1.1
31	Jabari Parker	MIL	21	45	21	24	34.3	20.5	8.0	16.2	49.2	1.4	3.6	39.1	3.1	4.3	73.4	1.5	4.4	5.9	2.9	1.7	1.0	0.4	2.2	0	0	-0.6
32	Kevin Love	CLE	28	39	27	12	32.0	20.5	6.6	15.3	42.9	2.6	6.9	37.6	4.8	5.5	86.9	2.6	8.5	11.0	1.9	2.1	0.8	0.3	1.9	27	0	7.6
33	Harrison Barnes	DAL	24	45	16	29	35.8	20.2	8.1	17.2	47.3	1.0	3.0	33.8	2.9	3.4	85.6	1.3	4.0	5.3	1.4	1.3	0.9	0.3	1.6	1	0	-1.9
34	Joel Embiid	PHI	22	30	13	17	25.3	19.8	6.3	13.6	46.2	1.1	3.1	34.8	6.2	7.9	77.7	2.0	5.8	7.8	2.1	3.7	0.8	2.5	3.6	9	0	2.2
35	Goran Dragic	MIA	30	38	15	23	34.6	19.5	7.0	15.1	46.3	1.6	3.9	40.5	3.9	4.9	78.7	0.8	3.2	4.0	6.3	3.2	0.9	0.2	2.7	3	0	-2.9
36	Zach LaVine	MIN	21	42	14	28	37.1	19.2	7.1	15.3	46.3	2.7	6.7	40.2	2.4	2.8	84.7	0.4	3.0	3.4	3.0	1.9	0.8	0.2	2.2	0	0	-2.4
37	Dwyane Wade	CHI	35	42	20	22	30.6	19.1	7.1	16.6	42.8	0.9	2.7	31.9	4.0	5.1	79.3	1.2	3.1	4.2	3.7	2.2	1.6	0.7	1.9	1	0	-0.8
38	Kristaps Porzingis	NYK	21	40	18	22	33.4	18.8	6.9	15.3	44.8	2.0	5.1	38.4	3.1	3.9	80.0	1.7	5.5	7.2	1.4	1.8	0.8	1.9	3.8	8	0	-1.6
39	Rudy Gay	SAC	30	30	11	19	33.8	18.7	6.7	14.7	45.5	1.4	3.8	37.2	3.9	4.6	85.5	1.2	5.2	6.3	2.8	2.5	1.5	0.9	2.6	4	0	2.3
40	Mike Conley	MEM	29	35	19	16	32.5	18.6	6.1	14.2	43.2	2.3	5.6	40.1	4.1	4.7	86.1	0.6	3.2	3.8	6.2	2.3	1.3	0.4	1.8	4	0	1.2
41	Derrick Rose	NYK	28	42	19	23	32.3	18.0	7.3	16.0	45.5	0.3	1.2	25.0	3.2	3.7	86.4	1.2	2.7	3.9	4.5	2.5	0.7	0.4	1.5	2	0	-1.5
