27	Blake Griffin	LAC	27	26	19	7	33.6	21.2	7.9	16.5	48.0	0.2	0.8	22.7	5.2	6.9	74.9	2.0	6.8	8.8	4.7	2.4	1.0	0.5	2.7	11	0	9.3
28	Zach LaVine	MIN	21	34	10	24	37.6	21.1	7.7	16.1	47.6	2.9	7.1	41.7	2.8	3.3	85.6	0.4	2.6	3.0	3.0	2.0	0.9	0.2	2.3	0	0	-1.9
29	Harrison Barnes	DAL	24	35	11	24	36.1	20.6	8.2	17.6	46.7	1.0	3.1	33.6	3.2	3.6	87.4	1.4	4.2	5.6	1.4	1.4	0.9	0.2	1.7	1	0	-2.5
30	Jabari Parker	MIL	21	33	17	16	33.7	20.5	8.1	16.2	49.9	1.3	3.3	39.1	3.0	4.0	74.2	1.6	4.2	5.8	2.4	1.6	1.1	0.3	1.9	0	0	-0.2
31	Brook Lopez	BKN	28	30	8	22	29.1	20.3	7.1	15.1	46.9	1.9	5.3	36.5	4.2	5.0	84.7	1.7	3.6	5.3	2.7	2.4	0.6	1.8	2.4	2	0	-3.1
32	Kristaps Porzingis	NYK	21	32	16	16	34.8	20.1	7.3	16.2	45.2	2.1	5.3	40.2	3.4	4.3	78.8	1.8	6.0	7.9	1.3	1.7	0.8	1.9	3.7	8	0	-0.5
33	Eric Bledsoe	PHX	27	36	11	25	32.5	19.9	6.9	15.7	44.0	1.4	4.5	30.1	4.8	5.8	81.9	0.9	4.3	5.1	5.7	3.1	1.5	0.5	2.7	4	0	-4.3
34	Marc Gasol	MEM	31	35	22	13	33.6	19.6	7.1	15.9	44.9	1.4	3.4	40.8	3.9	4.7	83.0	0.8	5.3	6.1	4.2	2.0	1.0	1.5	2.2	5	1	1.7
35	Joel Embiid	PHI	22	23	7	16	25.1	19.2	6.3	13.7	46.0	1.2	3.0	38.6	5.4	7.0	77.0	2.1	5.3	7.3	1.9	3.7	0.8	2.4	3.5	6	0	-0.3
36	Goran Dragic	MIA	30	28	9	19	34.4	19.0	6.9	15.4	45.1	1.5	3.8	40.6	3.6	4.5	78.7	0.7	3.2	3.9	6.8	3.3	0.9	0.2	2.9	3	0	-3.7
37	Devin Booker	PHX	20	35	11	24	33.2	18.9	6.9	17.1	40.2	1.6	5.0	32.6	3.5	4.3	82.0	0.5	2.3	2.9	3.2	2.6	1.0	0.2	3.1	0	0	-3.4
38	Dwyane Wade	CHI	34	32	15	17	30.4	18.8	7.0	16.0	43.5	0.9	2.8	30.8	4.0	4.9	81.5	1.1	3.0	4.1	3.7	2.2	1.4	0.7	1.9	1	0	0.1
39	George Hill	UTA	30	13	10	3	30.5	18.8	6.7	12.2	54.7	2.2	4.5	47.5	3.2	3.9	82.4	0.4	3.3	3.7	4.2	1.3	1.2	0.2	2.2	0	0	9.8
40	Rudy Gay	SAC	30	24	10	14	33.6	18.5	6.7	14.7	45.5	1.3	3.6	34.5	3.9	4.6	84.7	0.9	5.4	6.3	3.0	2.3	1.5	0.7	2.5	2	0	2.8
41	Mike Conley	MEM	29	25	14	11	31.2	18.4	5.9	13.4	43.9	2.3	5.4	43.0	4.3	5.0	86.4	0.4	3.0	3.5	5.4	2.2	1.3	0.5	1.6	2	0	0.6
42	Lou Williams	LAL	30	38	13	25	24.6	18.2	5.6	12.7	43.8	1.8	5.0	36.8	5.2	6.1	86.5	0.2	2.0	2.3	3.1	2.1	1.3	0.2	1.1	0	0	1.3
43	Paul Millsap	ATL	31	31	18	13	34.0	17.8	6.5	14.7	44.4	1.1	3.5	31.8	3.7	4.8	76.0	1.7	6.5	8.2	3.7	2.1	1.5	0.9	2.8	10	0	2.5
44	Evan Fournier	ORL	24	31	13	18	33.4	17.8	6.3	13.9	45.5	1.8	5.0	36.5	3.4	4.0	84.6	0.5	2.5	3.0	3.5	2.0	1.0	0.1	2.8	0	0	-2.8
45	Avery Bradley	BOS	26	34	20	14	35.0	17.8	7.2	14.9	48.2	2.0	5.0	40.8	1.4	1.9	76.2	1.1	5.8	6.9	2.4	1.8	1.3	0.2	2.8	9	0	-0.5
